Xv5EbpcAAAAJ	Taber LA	[biomechanics, morphogenesis]
E0nK44AAAAAJ	Jin-Yu Shao, PhD	[Mechanics of Single Cells and Molecules]
3ro8yF4AAAAJ	Baranidharan Raman	[Systems neuroscience, machine learning, sensor-based machine olfaction, biomedical intelligent systems, and dynamical systems.]
3-y3qmkAAAAJ	Xuan Zhang	[Computer Architecture, VLSI Design, Embedded Systems, Robotics]
VtIzUZEAAAAJ	Oscar C. Gouveia-Filho	[Microeletrônica]
6ZHvHDEAAAAJ	Svilen Kanev	[Computer Architecture]
G7D5O-0AAAAJ	Chris Gill	[Real-Time Systems, Cyber-Physical Systems, Middleware, Operating Systems, Virtualization]
Pi012CQAAAAJ	Joseph Zambreno	[Electrical and Computer Engineering]
XzBeCwIAAAAJ	Phillip H. Jones	[Reconfigurable Computing, Embedded Systems]
d9f_YvcAAAAJ	Shirley Dyke	[Structural Dynamics & Vibrations, Earthquake Engineering, Cyberinfrastructure, Structural Control, Monitoring]
P19O_H8AAAAJ	Michael Atighetchi	[Cross Domain Information Sharing, Cyber Quantification]
OHulCmEhMosC	Meng Xu	[Cyber Physical Systems, Embedded System, Virtualization Systems, Real-Time Systems, CPS Security]
uwzBnJwAAAAJ	Cesar Sanchez	[Formal Methods, Logic, Reactive Systems, Computer Science]
qPlUgrgAAAAJ	Insup Lee	[Real-time systems, Real-Time Embedded Systems, Cyber Physical Systems, runtime verification, trust management]
ojH7GEgAAAAJ	Linh Thi Xuan Phan	[real-time systems, embedded systems, cyber-physical systems, formal methods, distributed systems]
J0SKz5YAAAAJ	Oleg Sokolsky	[Software design and software architecture for embedded systems, formal methods, runtime verification]
sWCpXFgAAAAJ	William D Smart	[Robotics, Machine Learning]
uVBjUtAAAAAJ	Robert Pless	[computer vision, graph theory, sensor networks, citizen science]
CYwffSUAAAAJ	Abusayeed Saifullah	[Low-power wide-area network, cyber-physical systems, real-time systems, Internet of Things, parallel and distributed computing]
kI5JKs8AAAAJ	Guoliang Xing	[Smart Health, Smart Cities, Cyber-Physical Systems, Sensor Networks, Wireless Networks]
yvvjnhIAAAAJ	Aniruddha Gokhale	[Distributed Systems, Distributed Computing, Cloud Computing, Design Patterns]
amXgr0gAAAAJ	Sisu Xi	[Real Time Systems, Virtualization, Scheduling, Networking, Cloud Computing]
88L1-JYAAAAJ	Xiaorui Wang	[Power Management, Data Centers, Real-Time Embedded Systems, Computer Architecture, Computer Systems]
eFjZ6jAAAAAJ	Jing Li	[parallel computing, real-time systems, cyber-physical systems]
W362rUwAAAAJ	Kunal Agrawal	[Parallel Computing, Algorithms]
8GA4R2wAAAAJ	Douglas Schmidt	[Pattern-oriented middleware, Java/Android concurrency, Industrial Internet of Things, distributed real-time and embedded systems]
tCq7Wx0AAAAJ	Chenyang Lu	[Real-Time Systems, Wireless Sensor Networks, Wireless Health, Internet of Things, Cyber-Physical Systems]
DOdE7bsAAAAJ	Dolvara Gunatilaka	[N/A]
KQmFXsoAAAAJ	Eric (You) Xu	[artificial intelligence, automated planning, nonlinear optimization, sensor network]
enpgnuQAAAAJ	Qingfeng Huang	[mobile computing, sensor networks, distributed computing, ad hoc networks, physics]
VMFWEMcAAAAJ	Thomas C. Bailey	[N/A]
YOZbkCEAAAAJ	Gang Tao	[adaptive control, multivariable control, nonlinear control, robotics, real-time systems]
hVZiQDQAAAAJ	Mo Sha	[Wireless Networks, Internet of Things, Embedded and Real-Time Systems, and Cyber-Physical Systems]
NHZdlVkAAAAJ	Xenofon Koutsoukos	[N/A]
hc1m_BQAAAAJ	Tian He	[Cyber Physical Systems, IOT, Wireless Sensor Networks, Real-time Systems]
pHox8i0AAAAJ	Sang H Son	[N/A]
uBbYp8gAAAAJ	Octav Chipara	[Wireless Sensor Networks, Embedded Systems, Wireless Health, Cyber-physical systems]
NByrsK0AAAAJ	Yixin Chen	[N/A]
DhckaXkAAAAJ	xiaohua xu	[Neuroscience]
3L2Ih0wAAAAJ	Joseph O. Deasy, PhD	[medical physics, statistical modeling, machine learning, cancer biology, radiobiology]
f0DADzYAAAAJ	Ruibin Xi	[N/A]
2F-jTfEAAAAJ	Yi Pan	[Big Data, Cloud Computing, Bioinformatics, Wireless Networks]
kR7DersAAAAJ	Minmin Chen	[Machine Learning]
vuKTnnsAAAAJ	Weixiong Zhang	[computational biology, artificial intelligence]
d6maXN8AAAAJ	Ramanjulu Sunkar	[Abiotic Stress, MicroRNAs, Plant Molecular Biology]
Kv9AbjMAAAAJ	Jiawei Han	[data mining, database systems, data warehousing, information networks]
mL6QKeQAAAAJ	Guozhu Dong	[data mining, machine learning, database, bioinformatics, data science]
rYsw7D4AAAAJ	Ruoyun Huang	[Artificial Intelligence]
WL8igVEAAAAJ	Benjamin W. Wah	[Artificial intelligence, multimedia]
cA28Zs0AAAAJ	Tarek Abdelzaher	[Real-time Systems, wireless sensor networks, cyber-physical systems, embedded systems, social sensing]
4VJre9IAAAAJ	John Stankovic	[wireless sensor networks, cyber physical systems, real-time systems]
c8W5RkcAAAAJ	liu ke	[High Performance and Energy Efficient Deep Neural Network Hardware Design]
Pwd7hJYAAAAJ	Elizabeth Farrell Helbling	[Robotics, MAV, Controls]
q9lNC6QAAAAJ	Yazhou Zu	[Computer Architecture, Power/Energy Efficient Microprocessor, Specialized Processor Architectures]
gy4UVGcAAAAJ	Vijay Janapa Reddi	[Computer Architecture]
L1y8y2MAAAAJ	Jingwen Leng	[Computer Architecture]
9EWtXi0AAAAJ	An Zou	[Computer Architecture, Embedded Systems, Robotics]
j1uE6L0AAAAJ	Andre Harrison	[computer vision, signal processing]
yJLnv4QAAAAJ	Guihai Yan	[Efficient & Resilient Computer Architecture]
FTYtHb4AAAAJ	Robert J Wood	[Robotics]
cO2uYoAAAAAJ	Brandon Reagen	[Computer Architecture, ML, VLSI]
lf9ZK78AAAAJ	Rajeev Kumar Dokania	[Analog Circuit Design, UWB Impulse Radio, Optical Interconnet, High Speed Serial IO, ESD Design]
MbyxwN0AAAAJ	Ishita Mukhopadhyay	[mixed signal design, analog design, I/O]
9xtHahMAAAAJ	Xin He	[Low power design, Approximate computing, Computer vision]
PUnHU8UAAAAJ	Sae Kyu Lee	[N/A]
IR0yJB8AAAAJ	Gu-Yeon Wei	[integrated circuits, computer architecture]
WZ0030cAAAAJ	Alyssa Apsel	[N/A]
vXHA_XYAAAAJ	David Brooks	[Computer Architecture]
OjHwJN0AAAAJ	Shen Zeng	[Control Theory, Applied Mathematics]
RBQ_K40AAAAJ	Su Huang	[electrooptic polymers, photovoltaic cells, photonics, processing, device fabrication]
HQeEzR0AAAAJ	William D. Richard	[Ultrasonic Imaging]
nk3OcBoAAAAJ	Eric Leuthardt	[Brain Computer Interface, Cortical Physiology, ECoG, Electrocorticography, Resting State MRI]
Cgx9W6UAAAAJ	Jonathan Turner	[Networking, algorithms, switching systems, routers, data communications]
_5tjpG0AAAAJ	Eileen Kraemer	[Human aspects of software development, human aspects of bioinformatics]
JQsX7rAAAAAJ	giuseppe bianchi	[networking, wireless networks, network security]
bYlFzsYAAAAJ	Kohei Shiomoto	[Internet, traffic analysis, optical networking, network management]
pkjoANMAAAAJ	Michela Becchi	[parallel computing, heterogeneous computing, runtime systems, networking systems, algorithm acceleration]
-N-_kgsAAAAJ	Brandon Heller	[Networks, Energy, Data Centers, Software-Defined Networks]
SHb2ZlMAAAAJ	Dan Lenoski	[Networking, Computer Architecture, Multiprocessors, Fault Tolerance]
hiGGy0kAAAAJ	Sergey Gorinsky	[computer networks, distributed systems, network economics]
rnR3JrYAAAAJ	George Varghese	[Networking]
EySbr8sAAAAJ	Marcel Waldvogel	[Computer Networking, Internet, Security, Privacy]
MMuP6cMAAAAJ	Tilman Wolf	[computer networks, embedded systems, security]
mhTBmDkAAAAJ	Dr. Haoyu Song	[Network]
SqMUez0AAAAJ	Nick McKeown	[N/A]
Qf4bw4UAAAAJ	Hari Balakrishnan	[Networked computer systems, wireless networks, network architecture, mobile computing]
07ds-DAAAAAJ	Jennifer Rexford	[Networking, Computer Networks, Internet Routing, Network Management]
n6wC7nwAAAAJ	Patrick Crowley	[networking, systems, security, high-speed networking, network processors]
MYqlcPgAAAAJ	Thomas Anderson	[Distributed Systems, Networking, Operating Systems]
hmq4rGIAAAAJ	Larry Peterson	[Distributed Systems, Networks, Operating Systems]
GUAoEcAAAAAJ	Scott Shenker	[N/A]
-NdFqI_E8z4C	Lei Sun 孙雷 孫雷	[Biomedical Engineering]
VIr4TMBUwG0C	Stephen V. Cole	[parallel programming, GPU, SIMD, C]
0gkajvEAAAAJ	Jacob Gardner	[Machine Learning, Artificial Intelligence]
yQXfAWMAAAAJ	Jeremy Buhler	[computer science, parallel computing, computational biology, bioinformatics]
0oqBHGIAAAAJ	Patricia B. Weisensee	[Phase Change Heat Transfer, Experimental Fluid Dynamics, Wetting, Droplet Impact, Dropwise Condensation]
85EVVHQAAAAJ	Jessica Wagenseil	[vascular mechanics]
0HhpXIwAAAAJ	Srikanth Singamaneni	[N/A]
LwNkL3cAAAAJ	Amit Pathak	[cell mechanics, mechanobiology, biomechanics]
SyQ-T8cAAAAJ	William Ronan	[Solid mechanics, Micromechanics, Biomechanics, Finite element analysis]
Lym3wGUAAAAJ	Patrick McGarry	[Biomechanics, Solid mechanics, Computational modelling]
INUmPLsAAAAJ	Gregory Longmore	[cell adhesion and cell migration, cancer metastasis]
M9RDPB0AAAAJ	Wesley R Legant	[Cell Mechanics, Imaging]
WLcdlLwAAAAJ	Samila Nasrollahi	[Tissue engineering, Biomaterials, Mechanotransduction, Cell migration]
-6maX04AAAAJ	Christopher S. Chen, M.D., Ph.D.	[Systems Mechanobiology, Adhesion Biology, Tissue Engineering]
KbaDWTMAAAAJ	Sanjay Kumar	[Molecular and Cellular Bioengineering, Biomaterials, Cancer Biology, Stem Cells]
VIwGymEAAAAJ	Vikram S. Deshpande	[Solid Mechanics, Materials, Biomechanics, Mechanics of Materials]
g_JVzmIAAAAJ	Robert M. McMeeking	[solid mechanics, mechanics of materials, fracture, biomaterials, composites]
1wwD728AAAAJ	Ruth J. Okamoto	[biomechanics]
DYZsiAIAAAAJ	Rohan Mishra	[Materials Design, Electronic Structure, Electron Microscopy]
jry1jnEAAAAJ	Steven T. Hartman	[Materials science, DFT, atomistic modeling]
SBVuIBwAAAAJ	Anupriya Agrawal	[Multiscale modelling, Computational Materials Science, Polymers, Bulk Metallic Glasses]
b2eSw60AAAAJ	Guangfu Luo	[Computational Materials Science, Growth Dynamics, Defect Thermodynamics, Spectroscopy, Many-body Effects]
-809YacAAAAJ	Jordan Adam Hachtel	[Electron Microscopy, Monochromated EELS, Optical Properties]
tyYtUNIAAAAJ	Pratim Biswas	[Chemical Engineering, Environmental Engineering, Aerosol Science and Technology, Energy, Nanotechnology]
1qqf7D0AAAAJ	Katharine Flores	[Materials Science and Engineering]
9ADkQMAAAAAJ	Clarissa A Yablinsky	[Mechanical Behavior, Nuclear Materials]
hs5358sAAAAJ	Wendelin J. Wright	[Materials Science and Engineering]
XLU7AuYAAAAJ	Takeshi Egami	[Condensed matter physics, materials science]
UuSk_zkAAAAJ	Emmanuelle A Marquis	[microstructures, phase transformations, oxidation, radiation, corrosion]
ektlMjQAAAAJ	Allen Hunter	[electron microscopy, atom probe tomography, metallurgy]
qrHidmsAAAAJ	Oleg N. Senkov	[Materials Science and Metallurgical Engineering]
jDKM_4AAAAAJ	K. F. Kelton	[Nucleation, metallic glasses, liquid structrues]
Z_jPrx8AAAAJ	William L. Johnson	[Materials Science]
PafZ2Z4AAAAJ	Logan Ward	[N/A]
f3dhjoYAAAAJ	Douglas Hofmann	[bulk metallic glass]
AsMU1QsAAAAJ	Daniel Miracle	[metallurgy, metallic glass, materials science]
27EtyNkAAAAJ	Stephen C. Glade	[N/A]
DFI13oQAAAAJ	Biraja Kanungo	[Materials Science & Engineering]
vME86a4AAAAJ	Wolfgang Windl	[Computational materials science]
IHUOFK4AAAAJ	Yangchuan Xing	[Electrochemical engineering, electrocatalysis, particle technology, sustainable manufacturing]
jtOKGpIAAAAJ	Digbijoy Nath	[Semiconductor devices, GaN and III-nitride alloys, Gallium Oxide]
PfEES2EAAAAJ	Xing Huang	[Computational Materials Science, Electron Microscopy]
ZOh4TtIAAAAJ	Jaume Gazquez	[STEM, EELS, COMPLEX OXIDES]
SSb4uV4AAAAJ	Sung Beom Cho	[Computational Materials Science]
-cuxoSQAAAAJ	Sergei V. Kalinin	[scanning probe microscopy, electron microscopy, machine learning, ferroelectrics, atomic fabrication]
IY3CBewAAAAJ	Arashdeep Singh Thind	[Density functional theory, Electron microscopy, Materials design]
dMVI-XIAAAAJ	Oscar D. Restrepo	[N/A]
--VLCRoAAAAJ	Young-Min Kim	[(Scanning) Transmission Electron Microscopy, Materials Science, Nanomaterials, Complex Oxides]
5P3knO0AAAAJ	Juan-Carlos Idrobo	[Physics, Electron Spectroscopy, Electron Microscopy]
loPUpHQAAAAJ	Albina Borisevich	[electron microscopy, complex oxides]
UnDfo6sAAAAJ	Stephen Pennycook	[Atomic resolution imaging and analysis]
forPRN8AAAAJ	Sokrates T Pantelides	[N/A]
ln3BGqgAAAAJ	John Mark Meacham	[N/A]
AInPEpIAAAAJ	Mingyang Cui	[MEMS, Microfluidics, Two-phase Flow]
7Rh9iP0AAAAJ	Karthik Tappa	[3D printing, Bioprinting, Anatomical Modeling, Drug Delivery, Nanotechnology]
Z0uxspMAAAAJ	Jeffery Adam Weisman, MD, PhD, JD	[Bioactive 3D Printing, Additive Manufacturing]
Qth4UmoAAAAJ	Uday Jammalamadaka	[3d printing, Biomaterials, Bioprinting, Drug delivery systems, Scaffold fabrication]
ymDJ6oIAAAAJ	Javier Atencia	[Transport Phenomena, Microfluidic Technology, Electromagnetic Drives]
BkygZFsAAAAJ	Jack F Douglas	[Material Science]
Uk8VhXEAAAAJ	Mikhail Y. Berezin	[optical imaging, chemistry, spectroscopy, peripheral nerves]
Be1OTOcAAAAJ	Sanjeev kumar	[Nuclear physics]
e49cxvUAAAAJ	Thomas P Forbes	[Transport Phenomena, Mass Spectrometry, Analytical Chemistry, MEMS, Microfluidics]
09JS7eAAAAAJ	David Ross	[Quantitative Biology, Probability Theory, Microfluidics, Emergence, Complex Adaptive Matter]
CZFDkfEAAAAJ	Michael M. Binkley, PhD	[Microfluidics, Acoustics, Antibody Drug Conjugates, Biostatistics]
PIIoaKMAAAAJ	Facundo M. Fernández	[Mass Spectrometry, Bionalytical Chemistry, Imaging, Metabolomics/Lipidomics.]
_C33NmEAAAAJ	Srinivas Garimella	[Microscale Heat Transfer, Waste Heat Recovery, Condensation, Absorption Heat Pumps, Adsorption]
-WVPmUkAAAAJ	F. Levent Degertekin	[Microsystems, MEMS, Transducers, Imaging, Waves]
_X-PrRkAAAAJ	Andrei Fedorov	[heat transfer, bioengineering, analytical chemistry, mass spectrometry, electron beam processing]
WZ-h67UAAAAJ	Spencer P. Lake	[Soft tissue biomechanics]
cuRERDcAAAAJ	Kyle D Allen	[Orthopaedic Research, Osteoarthritis, Degenerative Disc Disease, Temporomandibular Joint Disorders]
dewEBisAAAAJ	Catalin R. Picu	[fibrous materials, soft matter]
5QYkLKoAAAAJ	Trevor J. Lujan	[biomechanics, extracellular matrix, soft tissue, orthopaedics]
M3he9Y8AAAAJ	Spencer Szczesny	[Multiscale Biomechanics and Mechanobiology]
VhIULXH7sLwC	ciaran simms	[Injury biomechanics, tissue mechanics, device design, crash safety]
Hzb4ZWEAAAAJ	Benjamin James Ellis	[Bioengineering, Biomechanics, Computational Biomechanics, Orthopaedics]
AYspUaEAAAAJ	Ramesh Raghupathy	[Tissue mechanics, Finite element analysis, Digital image correlation, Computational modeling, Medical devices]
y3zG4z8AAAAJ	Colleen Witzenburg	[Cardiovascular Biomechanics Heterogeneity Growth and Remodeling]
2VMMsmsAAAAJ	Edward Sander	[Experimental and Computational Mechanobiology, In Vitro Systems for Studying Disease, Tissue Engineering, Wound Healing, Microsc]
8rw_o7UAAAAJ	Mark Shephard	[N/A]
YtFi-KkAAAAJ	Jeffrey A. Weiss	[biomechanics, ligaments and tendons, cartilage, angiogenesis, extracellular matrix]
WV7XovQAAAAJ	Viktor Gruev	[image sensors, polarization imaging, fluorescence, nanofabricaiton]
LiLwnssAAAAJ	Daniel H. Cortes	[cartilage, intervertebral disc, ultrasound, composites]
w-2K0x8AAAAJ	Fei Fang	[tendon, strain transfer]
vHN9guYAAAAJ	Kristin S. Miller	[Soft tissue growth and remodeling, biomechanics, tissue engineering, Women's Health, mechanobiology]
JFqBXvcAAAAJ	Lai VK	[Biomechanics, Tissue Engineering]
j9EXF1AAAAAJ	Dawn M Elliott	[biomechanical engineering, biomedical engineering, orthopaedics]
L05BN0sAAAAJ	Victor Barocas	[N/A]
X6vPtQEAAAAJ	Louis Soslowsky	[orthopaedic research, biomedical engineering, biomechanics, tendon, functional tissue engineering]
oRlrVsAAAAAJ	Vijay Ramani	[Electrochemical energy conversion and storage]
tHNXlAYAAAAJ	Derek Patton	[Polymers, Polymer Synthesis, Polymer Surfaces, Thiol-ene Photopolymerization, Degradable]
tWbKlfMAAAAJ	Carlo Segre	[Physics, Materials Science, Debian GNU/Linux]
C4m8TSUAAAAJ	Karim Zaghib	[Energy storage, battery, electrochromic]
gfpmAkQAAAAJ	R. A. Weiss	[ionomers, polymers, viscoelasticity]
QPzaSSsAAAAJ	Krishnan Rajeshwar	[Materials Chemistry, Photoelectrochemistry, Energy]
ZnvGMSIAAAAJ	Marc-Olivier Coppens	[Nature Inspired Chemical Engineering, Diffusion, Porous Media, Catalysis and Reaction Engineering, Sustainability]
I1RqBRoAAAAJ	Thomas F. Fuller	[Fuel Cells, Batteries]
5_2_THUAAAAJ	Jai Prakash	[N/A]
60L18i4AAAAJ	Zhongyang Wang	[Anion exchange membrane, Fuel cell, Flow battery]
6gWs-scAAAAJ	Peter Strasser	[Electrochemistry, Nanomaterials, Electrocatalysis, Fuel Cells, Solar Fuels and Chemicals]
NUD0HAkAAAAJ	Amod Kumar	[Electrochemistry, material science, fuel cells, inorganic material synthesis and characterization]
xxN4UiEAAAAJ	Venkateshkumar Prabhakaran	[N/A]
NSCF6GUAAAAJ	Guanxiong Wang	[Renewable Energy, Fuel cells, Electrochemistry, Novel Catalysts, MEA Characterization]
AQG8WlcAAAAJ	Christopher Arges	[fuel cells, directed self-assembly, block copolymers, anion exchange membranes]
g4DdvyEAAAAJ	Javier Parrondo	[Chemical Engineering, electrochemistry, PEM fuel cells, solid oxide fuel cells]
5Tw9egMAAAAJ	Peng Bai	[Battery, Electrodeposition, Analytical electrochemistry, Mathematical modeling]
GN3C9q4AAAAJ	Jaephil Cho	[battery, nanomaterials, catalysts]
H8IzdhcAAAAJ	Sujong Chae	[Lithium ion batteries, silicon, anode]
4g7P1w4AAAAJ	Venkatasubramanian Viswanathan	[Batteries, Fuel Cells, Electrocatalysis, Electric Vehicles]
y1-vy_0AAAAJ	Edwin Khoo	[chemical engineering, electrochemistry, batteries, machine learning, semiconductor manufacturing]
jIOynFgAAAAJ	Cong Su	[atomic engineering, 2D materials, electron microscope]
ziDobv4AAAAJ	Kang Pyo So (소강표) 蘇康杓	[nanocomposite, nanometals, mechanics, battery, nuclear]
9iGjfDkAAAAJ	Guiyin Xu	[Carbon materials, Supercapacitors, Lithium-ion batteries, Li-S/Se batteries, Water treatment]
ftAplLUAAAAJ	Tolek Tyliszczak	[x-ray microscopy]
TP-Jxn4AAAAJ	Sang Chul Lee	[N/A]
zTedPdwAAAAJ	Young-Sang Yu	[Magnetism, Energy Materials]
F6tblNcAAAAJ	Norman J. Salmon	[electron microscopy, material science, biology]
Gu-FyNMAAAAJ	Daan Hein Alsem	[Materials Science, Physics]
ClBxwZkAAAAJ	Yiyang Li	[N/A]
cmedVkoAAAAJ	William Chueh	[Energy materials, electrochemistry, X-ray spectroscopy, scattering and microscopy]
ugpUWZEAAAAJ	Yi Zeng	[Mathematical Modeling, Numerical Methods, Lithium Battery, Dynamical Systems, Mathematical Biology]
a_1pZGsAAAAJ	Raymond B Smith	[electrochemistry, phase transformation, energy storage materials, chemical engineering]
bnmsbZkAAAAJ	Akihiro Kushima	[in-situ TEM, strain engineering, Energy storage, Li-ion battery, Nano-mechanics]
x3c1R2gAAAAJ	Fikile Brushett	[Electrochemical Engineering, Energy Storage]
SHVhdhoAAAAJ	Ju Li (ORCID:0000-0002-7841-8058)	[Computational Materials Science, metallurgy, solid mechanics, nanocomposites, batteries]
rcGnOdYAAAAJ	Martin Z. Bazant	[electrochemistry, electrokinetics, fluid mechanics, applied mathematics, transport phenomena]
vzxeLyIAAAAJ	Fuzhong Zhang	[Synthetic Biology]
MO3BwFMAAAAJ	Jay Keasling	[Metabolic Engineering, Synthetic Biology]
amDW89cAAAAJ	Yinjie Tang	[biotechnology]
emsMY_sAAAAJ	TAE SEOK MOON	[Synthetic Biology, Metabolic Engineering, Protein Engineering]
kBiBksMAAAAJ	Marcus Foston	[Polymer Chemistry, Biofuel Production, Biomaterials, Renewable Materials, Green Chemistry]
OcNPtuUAAAAJ	Kimberly M Parker	[Environmental Organic Chemistry]
fHaJ7PMAAAAJ	Fangqiong Ling	[environmental microbiology, microbial ecology, engineering]
Yj6j5xgAAAAJ	Rachel Whitaker	[Microbial evolution, host-pathogen interactions, genomics]
mWcHXJcAAAAJ	W.G.J. van der Meer	[N/A]
